,Role,Company,Location,Min_Salary,Max_Salary,Average_Salary,Employment Type,Min_Experience,Max_Experience,UG,PG,Doctorate,Key Skills,Industry Type,Department,Role Category,Date Posted,Openings,Applications,Reviews
0,data scientist,tech mahindra,"['bangalore', 'hyderabad', 'pune']",,,,"full time, permanent",6,11,Any Graduate,Not Specified,Not Specified,"['azure', 'deep learning', 'gen ai', 'llm', 'machine laerning', 'natural language processing']",it services and consulting,data science and analytics,data science and machine learning,09-09-2024,5,218,3.6
1,data engineer,pss,['hyderabad'],1100000.0,1800000.0,1450000.0,"full time, permanent",4,9,Any Graduate,Not Specified,Not Specified,"['advance sql', 'etl tool', 'machine learning', 'ml algorithms', 'python', 'spark', 'sql', 'sql queries']",it services and consulting,data science and analytics,data science and machine learning,09-09-2024,1,145,
2,data science and analytics - other,indusind bank,['gurgaon'],,,,"full time, permanent",6,10,b.tech/b.e.,Not Specified,Not Specified,"['banking analytics', 'campaign analytics', 'customer analytics', 'data science', 'marketing analytics', 'model development', 'python', 'sql', 'statistical data analysis']",banking,data science and analytics,data science and analytics - other,08-09-2024,3,320,3.8
3,full stack data scientist,ibm,['bangalore'],,,,"full time, permanent",5,6,Any Graduate,any postgraduate,Not Specified,"['business acumen', 'cognos', 'dashboards', 'data analysis', 'data engineering', 'data quality', 'data science', 'dbms', 'erp', 'etl', 'financial accounting', 'forecasting', 'ibm cognos', 'open source', 'product development', 'python', 'reporting tools', 'sql', 'tableau']",it services and consulting,data science and analytics,data science and machine learning,08-09-2024,,20,4.1
4,data scientist,ibm,['bangalore'],,,,"full time, permanent",5,7,Any Graduate,any postgraduate,Not Specified,"['algorithms', 'artificial intelligence', 'aws', 'big data', 'data analysis', 'data analytics', 'data science', 'data visualization', 'deep learning', 'etl', 'hadoop', 'hive', 'kafka', 'machine learning', 'ml', 'natural language processing', 'pandas', 'power bi', 'pyspark', 'python', 'spark', 'sql', 'tableau']",it services and consulting,data science and analytics,data science and machine learning,08-09-2024,,49,4.1
5,full stack data scientist,ibm,['bangalore'],,,,"full time, permanent",3,6,Any Graduate,any postgraduate,Not Specified,"['business acumen', 'cognos', 'dashboards', 'data analysis', 'data engineering', 'data quality', 'data science', 'dbms', 'erp', 'etl', 'financial accounting', 'forecasting', 'ibm cognos', 'open source', 'product development', 'python', 'reporting tools', 'sql', 'tableau']",it services and consulting,data science and analytics,data science and machine learning,08-09-2024,,94,4.1
6,data scientist,ibm,['bangalore'],,,,"full time, permanent",3,7,Any Graduate,any postgraduate,Not Specified,"['algorithms', 'artificial intelligence', 'aws', 'big data', 'data analysis', 'data analytics', 'data science', 'data visualization', 'deep learning', 'etl', 'hadoop', 'hive', 'kafka', 'machine learning', 'ml', 'natural language processing', 'pandas', 'power bi', 'pyspark', 'python', 'spark', 'sql', 'tableau']",it services and consulting,data science and analytics,data science and machine learning,08-09-2024,,128,4.1
7,data platform engineer,ibm,['bangalore'],,,,"full time, permanent",12,16,b.tech/b.e.,any postgraduate,Not Specified,"['agile', 'artificial intelligence', 'c++', 'ci/cd', 'continuous integration', 'couchdb', 'css', 'deep learning', 'distribution system', 'django', 'docker', 'flask', 'golang', 'html', 'java', 'javascript', 'linux', 'machine learning', 'microservices', 'mongodb', 'python', 'pytorch', 'rest', 'spring boot', 'tensorflow']",it services and consulting,engineering - software and qa,software development,08-09-2024,,10,4.1
8,full stack data scientist,ibm,['bangalore'],,,,"full time, permanent",6,10,Any Graduate,any postgraduate,Not Specified,"['advance sql', 'aws', 'dashboards', 'data analysis', 'data analytics', 'data science', 'data visualization', 'gcp', 'ibm cloud', 'machine learning', 'marketing analytics', 'microservices', 'microsoft azure', 'open source', 'product development', 'python', 'r', 'sql', 'statistics', 'tableau', 'web analytics']",it services and consulting,data science and analytics,data science and machine learning,08-09-2024,,21,4.1
9,data platform engineer,ibm,['bangalore'],,,,"full time, permanent",6,8,b.tech/b.e.,any postgraduate,Not Specified,"['algorithms', 'artificial intelligence', 'big data', 'ci/cd', 'continuous integration', 'data science', 'devops', 'docker', 'git', 'iot', 'keras', 'machine learning', 'machine learning algorithms', 'open source', 'product development', 'python', 'pytorch', 'software development', 'spark', 'sql', 'tensorflow']",it services and consulting,engineering - software and qa,software development,08-09-2024,,22,4.1
10,data science and machine learning - other,trianz,"['bangalore', 'hyderabad']",2500000.0,3250000.0,2875000.0,"full time, permanent",9,14,Any Graduate,Not Specified,Not Specified,"['aws', 'deep learning', 'machine learning', 'pyspark', 'python']",it services and consulting,data science and analytics,data science and machine learning,05-09-2024,4,75,3.7
11,data scientist,pepsico,['hyderabad'],,,,"full time, permanent",8,12,Any Graduate,Not Specified,ph.d/doctorate,"['azure databricks', 'data science', 'databricks', 'demand forecasting', 'machine learning', 'ml', 'predictive analytics', 'predictive modeling', 'pyspark', 'python', 'sql', 'time series', 'time series analysis']",it services and consulting,data science and analytics,data science and machine learning,04-09-2024,5,75,4.1
12,research and development - other,indian immunologicals (iil),['hyderabad'],1000000.0,1500000.0,1250000.0,"full time, permanent",5,10,Not Specified,mba/pgdm,Not Specified,"['biostatistics', 'clinical trials', 'data analysis', 'data science', 'regulatory', 'statistical modeling', 'vaccine development']",pharmaceutical and life sciences,research and development,research and development - other,04-09-2024,1,166,4.1
13,data scientist,docskiff,['hyderabad'],,,,"full time, permanent",5,10,b.tech/b.e.,m.tech,Not Specified,"['aws', 'aws sagemaker', 'azure', 'docker', 'kubeflow', 'machine learning', 'mlflow', 'natural language processing', 'python', 'pytorch', 'tensorflow']",it services and consulting,data science and analytics,data science and machine learning,10-09-2024,1,9,
14,data scientist,leading client,"['bangalore', 'coimbatore', 'hyderabad']",,,,"full time, permanent",5,8,Any Graduate,any postgraduate,Not Specified,"['ci/cd', 'data science', 'docker', 'genesys', 'ml models', 'nlp algorithms', 'python', 'rag', 'software development', 'vector databases', 'version control']",it services and consulting,data science and analytics,data science and machine learning,04-09-2024,,144,
15,full stack data scientist,ibm,"['bangalore', 'hyderabad']",,,,"full time, permanent",3,7,Any Graduate,any postgraduate,Not Specified,"['algorithms', 'artificial intelligence', 'data analysis', 'data analytics', 'data science', 'data visualization', 'deep learning', 'hadoop', 'machine learning', 'ml', 'natural language processing', 'open source', 'pandas', 'power bi', 'product development', 'pyspark', 'python', 'spark', 'sql', 'tableau']",it services and consulting,data science and analytics,data science and machine learning,30-08-2024,,633,4.1
16,data science and analytics - other,iifl finance,['mumbai'],,,,"full time, permanent",2,4,Any Graduate,Not Specified,Not Specified,"['application scorecard', 'behaviour scorecard', 'collection scorecard', 'python', 'sas', 'sql']",nbfc,data science and analytics,data science and analytics - other,09-09-2024,1,853,4.0
17,data science and machine learning - other,hcltech,['nagpur'],,,,"full time, permanent",6,10,Any Graduate,Not Specified,Not Specified,"['artificial intelligence', 'ml', 'python']",it services and consulting,data science and analytics,data science and machine learning,09-09-2024,1,94,3.6
18,machine learning engineer,ibm,['bangalore'],,,,"full time, permanent",2,6,Any Graduate,any postgraduate,Not Specified,"['ansible', 'artificial intelligence', 'asynchronous apex', 'aws', 'data analytics', 'devops', 'docker', 'git', 'github', 'java', 'jenkins', 'kubernetes', 'linux', 'machine learning', 'maven', 'ml', 'multithreading', 'openshift', 'podman', 'python', 'redhat linux', 'rest', 'rhce', 'rhel', 'salesforce', 'terraform', 'unix']",it services and consulting,data science and analytics,data science and machine learning,04-09-2024,,268,4.1
19,machine learning engineer,ibm,['bangalore'],,,,"full time, permanent",3,7,Any Graduate,any postgraduate,Not Specified,"['ansible', 'artificial intelligence', 'asynchronous apex', 'aws', 'data analytics', 'devops', 'docker', 'git', 'github', 'java', 'jenkins', 'kubernetes', 'linux', 'machine learning', 'maven', 'ml', 'multithreading', 'openshift', 'podman', 'python', 'redhat linux', 'rest', 'rhce', 'rhel', 'salesforce', 'terraform', 'unix']",it services and consulting,data science and analytics,data science and machine learning,03-09-2024,,96,4.1
20,machine learning engineer,ibm,['bangalore'],,,,"full time, permanent",7,10,Any Graduate,any postgraduate,Not Specified,"['ansible', 'artificial intelligence', 'asynchronous apex', 'aws', 'data analytics', 'devops', 'docker', 'git', 'github', 'java', 'jenkins', 'kubernetes', 'linux', 'machine learning', 'maven', 'ml', 'multithreading', 'openshift', 'podman', 'python', 'redhat linux', 'rest', 'rhce', 'rhel', 'salesforce', 'terraform', 'unix']",it services and consulting,data science and analytics,data science and machine learning,03-09-2024,,22,4.1
21,machine learning engineer,ibm,['bangalore'],,,,"full time, permanent",7,9,Any Graduate,any postgraduate,Not Specified,"['ansible', 'artificial intelligence', 'asynchronous apex', 'aws', 'data analytics', 'devops', 'docker', 'git', 'github', 'java', 'jenkins', 'kubernetes', 'linux', 'machine learning', 'maven', 'ml', 'multithreading', 'openshift', 'podman', 'python', 'redhat linux', 'rest', 'rhce', 'rhel', 'salesforce', 'terraform', 'unix']",it services and consulting,data science and analytics,data science and machine learning,03-09-2024,,20,4.1
22,data scientist,info test ehire campaign,"['bangalore', 'hyderabad']",,,,"full time, permanent",10,15,Any Graduate,Not Specified,Not Specified,"['aws', 'azure', 'deep learning', 'keras', 'machine learning', 'nosql', 'pyspark', 'python', 'sql', 'tensorflow']",recruitment / staffing,data science and analytics,data science and machine learning,04-09-2024,6,130,
23,full stack data scientist,ibm,['bangalore'],,,,"full time, permanent",7,12,Any Graduate,any postgraduate,Not Specified,"['advance sql', 'applied mathematics', 'customer analytics', 'dashboards', 'data flow', 'data science', 'digital marketing', 'marketing analytics', 'mathematics', 'open source', 'presentation skills', 'product development', 'python', 'segmentation', 'sql', 'statistics', 'web analytics']",it services and consulting,data science and analytics,data science and machine learning,04-09-2024,,27,4.1
24,data scientist,benovymed healthcare,"['gurgaon', 'noida']",,,,"full time, permanent",0,5,b.tech/b.e.,m.tech,ph.d/doctorate,"['ai data modelling', 'ai modelling', 'ann', 'cnn', 'deep learning', 'machine learning', 'natural language processing', 'nlp', 'rnn']",it services and consulting,data science and analytics,data science and machine learning,29-08-2024,1,1782,
25,data scientist,benovymed healthcare,"['delhi', 'gurgaon', 'noida']",,,,"full time, permanent",0,5,b.tech/b.e.,m.tech,ph.d/doctorate,"['ann', 'cnn', 'conceptual modeling', 'data modelling', 'data science', 'deep learning', 'machine learning', 'nlp', 'predictive modeling', 'statistical analysis']",it services and consulting,data science and analytics,data science and machine learning,29-08-2024,1,1910,
26,data scientist,shadowfax technologies,['bangalore'],2500000.0,4000000.0,3250000.0,"full time, permanent",2,6,Any Graduate,Not Specified,Not Specified,"['deep learning', 'llm', 'machine learning', 'ml algorithms', 'ml framework', 'ml pipelines', 'natural language processing', 'python', 'pytorch', 'tensorflow']",courier / logistics (logistics tech),data science and analytics,data science and machine learning,09-09-2024,1,335,3.6
27,data scientist,amplicomm solutions,['bangalore'],,,,"full time, permanent",8,13,b.tech/b.e.,m.tech,Not Specified,"['airflow design', 'aws', 'azure', 'bigquery', 'cassandra', 'google cloud', 'hadoop', 'hypothesis testing', 'kafka', 'machine learning', 'mongodb', 'mysql', 'nosql', 'numpy', 'pandas', 'probability distributions', 'python', 'pytorch', 'redshift', 'spark', 'sql', 'statistical modeling', 'tensorflow']",it services and consulting,data science and analytics,data science and machine learning,09-09-2024,1,36,1.2
28,data scientist,ltimindtree,['bangalore'],,,,"full time, permanent",6,11,b.tech/b.e.,Not Specified,Not Specified,"['data science', 'deep learning', 'generative ai', 'machine learning', 'natural language processing', 'python', 'rag']",it services and consulting,data science and analytics,data science and machine learning,08-09-2024,10,101,3.7
29,data science and machine learning - other,swift strategic solutions,['bangalore'],1100000.0,2100000.0,1600000.0,"full time, permanent",5,8,Any Graduate,Not Specified,Not Specified,"['al', 'ml', 'nvidia ds']",it services and consulting,data science and analytics,data science and machine learning,08-09-2024,1,146,4.6
30,data scientist,ltimindtree,['bangalore'],,,,"full time, permanent",5,10,Any Graduate,Not Specified,Not Specified,"['artificial intelligence', 'computer vision', 'deep learning', 'genarative ai', 'llm', 'machine learning', 'natural language processing', 'python', 'pytorch']",it services and consulting,data science and analytics,data science and machine learning,09-09-2024,10,101,3.7
31,data scientist,faurecia,['pune'],,,,"full time, permanent",5,8,b.tech/b.e.,Not Specified,Not Specified,"['aws', 'azure', 'deep learning', 'devops', 'generative ai', 'machine learning', 'python']",it services and consulting,data science and analytics,data science and machine learning,09-09-2024,1,100,3.9
32,data scientist,faurecia forvia,['pune'],800000.0,1200000.0,1000000.0,"full time, permanent",1,6,diploma,Not Specified,Not Specified,"['automobile', 'cad', 'polymer engineering']",automobile,data science and analytics,data science and machine learning,09-09-2024,1,755,3.9
33,data scientist,bazaarvoice,['bangalore'],,,,"full time, permanent",2,7,b.tech/b.e.,any postgraduate,Not Specified,"['aws', 'data mining', 'data science', 'gcp', 'logistic regression', 'machine learning', 'matlab', 'neural networks', 'python', 'scala', 'sql']",it services and consulting,data science and analytics,data science and machine learning,08-09-2024,,1874,4.2
34,data scientist,faurecia,['pune'],,,,"full time, permanent",3,5,b.tech/b.e.,Not Specified,Not Specified,"['agile process', 'deep learning', 'machine learning', 'opencv', 'python', 'reinforcement learning']",automobile,data science and analytics,data science and machine learning,08-09-2024,1,484,3.9
35,data scientist,faurecia,['pune'],,,,"full time, permanent",3,8,b.tech/b.e.,Not Specified,Not Specified,"['azure', 'deep learning', 'generative ai', 'machine learning', 'python', 'sql']",it services and consulting,data science and analytics,data science and machine learning,08-09-2024,1,597,3.9
36,data scientist,ltimindtree,"['bangalore', 'chennai', 'pune']",,,,"full time, permanent",6,9,b.tech/b.e.,Not Specified,Not Specified,"['artificial intelligence', 'azure cloud', 'llm']",it services and consulting,data science and analytics,data science and machine learning,08-09-2024,15,161,3.7
37,data science and analytics - other,digit insurance,['bangalore'],,,,"full time, permanent",5,10,b.tech/b.e.,m.tech,Not Specified,"['graph databases', 'graphql', 'knowledge graph', 'neo4j', 'ontology']",insurance,data science and analytics,data science and analytics - other,08-09-2024,2,134,4.0
38,data scientist,perceptives solutions,['bangalore'],,,,"full time, permanent",8,13,b.tech/b.e.,Not Specified,Not Specified,"['data scientist', 'deep learning frameworks', 'ml/al', 'python']",it services and consulting,data science and analytics,data science and machine learning,08-09-2024,1,103,
39,data scientist,lti mindtree,['bangalore'],,,,"full time, permanent",6,11,Any Graduate,any postgraduate,Not Specified,"['aws', 'azure cloud', 'data science', 'gen ai', 'python', 'rag']",it services and consulting,data science and analytics,data science and machine learning,08-09-2024,20,142,
40,data scientist,hexaware technologies,['bangalore'],,,,"full time, permanent",5,10,Any Graduate,Not Specified,Not Specified,"['data science', 'deep learning', 'python', 'r', 'r program', 'sql']",it services and consulting,data science and analytics,data science and machine learning,09-09-2024,10,134,
41,data scientist,it,['bangalore'],,,,"full time, permanent",6,11,Any Graduate,Not Specified,Not Specified,"['data science', 'deep learning', 'python', 'r program', 'sql']",it services and consulting,data science and analytics,data science and machine learning,09-09-2024,10,69,
42,data scientist,paypal,['hyderabad'],,,,"full time, permanent",4,8,Any Graduate,any postgraduate,Not Specified,"['data analysis', 'data mining', 'financial services', 'linux', 'process improvement', 'project management', 'sql', 'unix']",fintech / payments,data science and analytics,data science and machine learning,28-08-2024,1,101,4.0
44,data scientist,ibm,['pune'],,,,"full time, permanent",3,7,Any Graduate,any postgraduate,Not Specified,"['algorithms', 'artificial intelligence', 'aws', 'big data', 'data analysis', 'data analytics', 'data science', 'data visualization', 'deep learning', 'etl', 'hadoop', 'hive', 'kafka', 'machine learning', 'ml', 'natural language processing', 'pandas', 'power bi', 'pyspark', 'python', 'spark', 'sql', 'tableau']",it services and consulting,data science and analytics,data science and machine learning,04-09-2024,,204,4.1
45,full stack data scientist,ibm,['gurgaon'],,,,"full time, permanent",5,8,Any Graduate,any postgraduate,Not Specified,"['algorithms', 'artificial intelligence', 'cloud technologies', 'data analytics', 'data science', 'data visualization', 'machine learning', 'machine learning algorithms', 'natural language processing', 'open source', 'predictive modeling', 'product development', 'python', 'sql', 'tableau']",it services and consulting,data science and analytics,data science and machine learning,04-09-2024,,101,4.1
46,data scientist,ibm,['pune'],,,,"full time, permanent",5,7,Any Graduate,any postgraduate,Not Specified,"['algorithms', 'artificial intelligence', 'aws', 'big data', 'data analysis', 'data analytics', 'data science', 'data visualization', 'deep learning', 'etl', 'hadoop', 'hive', 'kafka', 'machine learning', 'ml', 'natural language processing', 'pandas', 'power bi', 'pyspark', 'python', 'spark', 'sql', 'tableau']",it services and consulting,data science and analytics,data science and machine learning,03-09-2024,,42,4.1
47,data warehouse developer,ibm,['gurgaon'],,,,"full time, permanent",3,7,b.tech/b.e.,any postgraduate,Not Specified,"['apache', 'artificial intelligence', 'aws', 'cloud technologies', 'cpanel', 'db servers', 'dbms', 'devops', 'dynamo db', 'informix', 'java', 'lambda expressions', 'linux', 'mysql', 'node.js', 'open source', 'oracle', 'product development', 'python', 'shell scripting', 'sql', 'tableau', 'web server', 'web technologies']",it services and consulting,engineering - software and qa,dba / data warehousing,04-09-2024,,46,4.1
48,data warehouse developer,ibm,['pune'],,,,"full time, permanent",3,7,b.tech/b.e.,any postgraduate,Not Specified,"['apache', 'artificial intelligence', 'aws', 'cloud technologies', 'cpanel', 'db servers', 'dbms', 'devops', 'dynamo db', 'informix', 'java', 'lambda expressions', 'linux', 'mysql', 'node.js', 'open source', 'oracle', 'product development', 'python', 'shell scripting', 'sql', 'tableau', 'web server', 'web technologies']",it services and consulting,engineering - software and qa,dba / data warehousing,04-09-2024,,117,4.1
49,data warehouse developer,ibm,['chennai'],,,,"full time, permanent",3,7,b.tech/b.e.,any postgraduate,Not Specified,"['apache', 'artificial intelligence', 'aws', 'cloud technologies', 'cpanel', 'db servers', 'dbms', 'devops', 'dynamo db', 'informix', 'java', 'lambda expressions', 'linux', 'mysql', 'node.js', 'open source', 'oracle', 'product development', 'python', 'shell scripting', 'sql', 'tableau', 'web server', 'web technologies']",it services and consulting,engineering - software and qa,dba / data warehousing,03-09-2024,,82,4.1
50,data scientist,protocol zone,['ahmedabad'],500000.0,1000000.0,750000.0,"full time, permanent",2,5,Not Specified,ms/m.sc,ph.d/doctorate,"['h2o', 'horse racing prediction', 'ml', 'ml algorithms', 'optimization techniques', 'predictive modeling', 'probability', 'sports prediction', 'time series analysis']",it services and consulting,data science and analytics,data science and machine learning,10-09-2024,1,30,4.5
51,full stack data scientist,ezeiatech,['gurgaon'],,,,"full time, permanent",1,2,b.sc,any postgraduate,ph.d/doctorate,"['artificial intelligence', 'data scientist', 'deep learning', 'machine learning', 'nlp', 'python', 'tensorflow']",it services and consulting,data science and analytics,data science and machine learning,09-09-2024,,753,3.9
52,data scientist,smart wealth,['gurgaon'],,,,"full time, permanent",5,8,diploma,mba/pgdm,ph.d/doctorate,"['cloud libraries', 'data scientist', 'deep learning', 'financial modelling', 'machine learning', 'nlp', 'power bi', 'python']",it services and consulting,data science and analytics,data science and machine learning,08-09-2024,1,266,5.0
53,machine learning engineer,info test ehire campaign,"['bangalore', 'hyderabad']",0.0,2200000.0,1100000.0,"full time, permanent",5,8,Any Graduate,Not Specified,Not Specified,"['aws', 'keras', 'machine learning', 'pyspark', 'python developer', 'python development', 'tensorflow']",recruitment / staffing,data science and analytics,data science and machine learning,02-09-2024,10,372,
54,data scientist,girnar insurance brokers,['gurgaon'],,,,"full time, permanent",4,9,b.tech/b.e.,Not Specified,Not Specified,"['deep learning', 'machine learning', 'natural language processing', 'python']",insurance,data science and analytics,data science and machine learning,09-09-2024,1,79,3.5
55,data scientist,monnai,"['bangalore', 'chennai', 'hyderabad', 'kolkata', 'mumbai', 'new delhi', 'pune']",,,,"full time, permanent",3,7,Any Graduate,any postgraduate,Not Specified,"['calculus', 'credit risk', 'data mining', 'data visualization', 'machine learning', 'programming', 'python', 'sql', 'statistical programming', 'tableau']",software product,data science and analytics,data science and machine learning,28-08-2024,1,507,
56,data scientist,ample softech system,['pune'],600000.0,1000000.0,800000.0,"full time, permanent",0,5,Any Graduate,Not Specified,Not Specified,"['and data analysis.', 'data science', 'deep learning', 'machine learning']",it services and consulting,data science and analytics,data science and machine learning,26-08-2024,1,18347,4.7
57,data scientist,collegedunia,['gurgaon'],,,,"full time, permanent",0,2,b.tech/b.e.,m.tech,ph.d/doctorate,"['ai techniques', 'data science', 'data scientist', 'machine learning', 'python', 'r']",education / training,data science and analytics,data science and machine learning,28-08-2024,,6591,3.0
58,data scientist,nds infoserv,['mumbai'],1200000.0,1500000.0,1350000.0,"full time, permanent",0,2,Not Specified,Not Specified,ph.d/doctorate,"['data science', 'deep learning', 'natural language processing', 'phd']",it services and consulting,data science and analytics,data science and machine learning,05-09-2024,5,537,2.4
59,data scientist,impelox tech,['chennai'],,,,"full time, permanent",0,1,b.tech/b.e.,any postgraduate,ph.d/doctorate,"['artificial intelligence', 'data analysis', 'data science', 'java', 'machine learning', 'python', 'pytorch', 'r', 'tensorflow']",emerging technologies (ai/ml),data science and analytics,data science and machine learning,26-08-2024,1,9235,
60,data scientist,hcltech,['noida'],,,,"full time, permanent",6,11,Any Graduate,Not Specified,Not Specified,"['data mining', 'data scientist', 'gen ai', 'ml', 'nlp', 'python']",it services and consulting,data science and analytics,data science and machine learning,09-09-2024,11,27,
61,data science and machine learning - other,lti mindtree,"['bangalore', 'hyderabad', 'pune']",,,,"full time, permanent",8,10,Not Specified,any postgraduate,Not Specified,"['ai', 'machine learning', 'mlops', 'natural language processing']",it services and consulting,data science and analytics,data science and machine learning,28-08-2024,10,126,
62,data scientist,fidelity national financial (fnf),['bangalore'],1200000.0,2200000.0,1700000.0,"full time, permanent",5,10,b.tech/b.e.,m.tech,Not Specified,"['arima', 'bert', 'calculus', 'cnn', 'data science', 'data structures', 'hyper parameter tuning', 'linear algebra', 'linear regression', 'logistic regression', 'lstm', 'mathematics', 'multivariable calculus', 'nlp', 'python', 'r', 'random forest', 'sarima', 'transfer learning', 'transformers']",software product,data science and analytics,data science and machine learning,27-08-2024,3,1162,3.9
64,full stack data scientist,bigtapp,['chennai'],,,,"full time, permanent",5,8,b.tech/b.e.,any postgraduate,ph.d/doctorate,"['computer vision', 'data analytics', 'data science', 'data scientist', 'machine learning', 'nlp', 'predictive modeling', 'sql']",it services and consulting,data science and analytics,data science and machine learning,05-09-2024,,169,4.5
65,data scientist,ltimindtree,"['bangalore', 'mumbai', 'pune']",,,,"full time, permanent",4,8,b.tech/b.e.,Not Specified,Not Specified,"['aiml', 'data science', 'gcp', 'gcp cloud', 'generative ai', 'machine learning', 'python']",it services and consulting,data science and analytics,data science and machine learning,05-09-2024,8,825,3.7
66,data scientist,ltimindtree,"['bangalore', 'chennai', 'pune']",,,,"full time, permanent",6,11,b.tech/b.e.,Not Specified,Not Specified,"['data science', 'deep learning', 'generative ai', 'machine learning', 'natural language processing', 'python']",it services and consulting,data science and analytics,data science and machine learning,05-09-2024,1,434,3.7
67,data scientist,aryadit solutions,['hyderabad'],,,,"full time, freelance/homebased",7,12,b.tech/b.e.,m.tech,Not Specified,"['ab testing', 'aws sagemaker', 'azure machine learning', 'computer vision', 'deep learning', 'grafana', 'huggingface', 'linear algebra', 'mlops', 'model deployment', 'natural language processing', 'python', 'pytorch', 'statistics', 'tensorflow', 'transformers', 'vertex ai']",it services and consulting,data science and analytics,data science and machine learning,29-08-2024,1,464,4.8
68,data scientist,xoom,['hyderabad'],,,,"full time, permanent",4,7,Any Graduate,any postgraduate,Not Specified,"['computer science', 'data analysis', 'data mining', 'financial services', 'linux', 'process improvement', 'project management', 'sql', 'unix', 'wellness']",internet,data science and analytics,data science and machine learning,27-08-2024,1,68,
69,data scientist,technogen,['hyderabad'],,,,"full time, permanent",6,11,Any Graduate,any postgraduate,Not Specified,"['aws', 'data science', 'gcp', 'genai', 'ml', 'python']",telecom / isp,data science and analytics,data science and machine learning,27-08-2024,5,421,4.2
70,data scientist,ltimindtree,"['bangalore', 'chennai', 'pune']",,,,"full time, permanent",7,12,Any Graduate,Not Specified,Not Specified,"['ai', 'cloud', 'deep learning', 'generative ai', 'machine learning', 'ml', 'nlp', 'python', 'rag']",it services and consulting,data science and analytics,data science and machine learning,07-09-2024,10,296,3.7
71,data scientist,info test ehire campaign,['bangalore'],,,,"full time, permanent",4,6,Any Graduate,Not Specified,Not Specified,"['ab testing', 'artificial intelligence', 'data analysis', 'data mining', 'data science', 'data visualization', 'machine learning', 'predictive analytics', 'python', 'sql', 'statistical modeling']",recruitment / staffing,data science and analytics,data science and machine learning,05-09-2024,1,535,
72,data scientist,tiger analytics,['chennai'],,,,"full time, permanent",4,6,b.tech/b.e.,Not Specified,Not Specified,"['machine learning', 'python', 'sql']",it services and consulting,data science and analytics,data science and machine learning,04-09-2024,5,241,3.7
73,full stack data scientist,ennoventure,['bangalore'],,,,"full time, permanent",4,9,b.tech/b.e.,ms/m.sc,ph.d/doctorate,"['advanced analytics', 'artificial intelligence', 'computer vision', 'data processing', 'data science', 'machine learning', 'python', 'pytorch', 'statistics', 'tensorflow']",it services and consulting,data science and analytics,data science and machine learning,03-09-2024,,471,4.6
74,data scientist,airties,['bangalore'],,,,"full time, permanent",2,7,b.tech/b.e.,m.tech,Not Specified,"['ai algorithms', 'aiml', 'artificial intelligence', 'aws cloud', 'big data analytics', 'cloud platform', 'data science', 'machine', 'machine learning', 'ml', 'ml algorithms', 'predictive analytics', 'python', 'r']",it services and consulting,data science and analytics,data science and machine learning,03-09-2024,3,1527,
75,data scientist,affine analytics,['bangalore'],,,,"full time, permanent",3,5,Any Graduate,any postgraduate,Not Specified,"['ai research', 'algorithms', 'data analysis', 'data science', 'gen ai', 'machine learning', 'machine learning models', 'ml research', 'model deployment', 'nlp', 'python', 'sql']",it services and consulting,data science and analytics,data science and machine learning,03-09-2024,1,1023,3.3
76,full stack data scientist,sadup soft,['hyderabad'],,,,"full time, permanent",6,8,b.tech/b.e.,llm in any specialization,ph.d/doctorate,"['bigquery', 'data management', 'data science', 'data scientist', 'jupyter', 'llm', 'python']",it services and consulting,data science and analytics,data science and machine learning,26-08-2024,,119,4.6
77,data science and machine learning - other,calfus technologies india,"['bangalore', 'pune']",,,,"full time, permanent",4,8,b.tech/b.e.,Not Specified,Not Specified,"['data science', 'deep learning', 'exploratory data analysis', 'java', 'machine learning', 'model lifecycle management', 'modeling', 'natural language processing', 'numpy', 'python', 'pytorch', 'r', 'scikit-learn', 'tensorflow']",it services and consulting,data science and analytics,data science and machine learning,29-08-2024,1,1072,3.1
78,data scientist,leading client,"['gurgaon', 'mumbai', 'pune']",,,,"full time, permanent",5,8,Any Graduate,any postgraduate,Not Specified,"['ci/cd', 'data science', 'docker', 'genesys', 'ml models', 'nlp algorithms', 'python', 'rag', 'software development', 'vector databases', 'version control']",it services and consulting,data science and analytics,data science and machine learning,04-09-2024,,245,
79,data scientist,job opening-data scientist,['hyderabad'],,,,"full time, permanent",6,11,Not Specified,any postgraduate,Not Specified,"['data science', 'machine learning', 'python', 'sql', 'statistics']",software product,data science and analytics,data science and machine learning,29-08-2024,4,373,
80,data scientist,"fortune india 500 mnc, banking firm",['hyderabad'],1200000.0,1900000.0,1550000.0,"full time, permanent",6,10,Any Graduate,any postgraduate,ph.d/doctorate,"['anaconda', 'anaconda enterprise edition', 'jupyter notebook', 'kubernetes', 'python']",it services and consulting,data science and analytics,data science and machine learning,01-09-2024,1,177,
81,data scientist,fortune india 500 firm,['hyderabad'],,,,"full time, permanent",6,11,Any Graduate,Not Specified,Not Specified,"['azure machine learning', 'big data management', 'classification', 'clustering', 'data science', 'deep learning', 'generative ai', 'machine learning', 'ml modelling', 'model development', 'modeling', 'nlp', 'optimization', 'pattern recognition', 'python', 'regressions', 'reinforcement learning', 'sql', 'time series']",fertilizers / pesticides / agro chemicals,data science and analytics,data science and machine learning,01-09-2024,1,328,
