,Role,Company,Location,Min_Salary,Max_Salary,Average_Salary,Employment Type,Min_Experience,Max_Experience,UG,PG,Doctorate,Key Skills,Industry Type,Department,Role Category,Date Posted,Openings,Applications,Reviews
641,data engineer,optimum info system,"['bangalore', 'chennai']",,,,"full time, permanent",4,8,Any Graduate,Not Specified,Not Specified,"['aws', 'devops', 'django', 'ml', 'python', 'regex', 'sas']",it services and consulting,engineering - software and qa,software development,27-08-2024,1,191,
642,software development - other,mnc,"['bangalore', 'gurgaon', 'pune']",900000.0,1800000.0,1350000.0,"full time, permanent",3,8,b.tech/b.e.,m.tech,Not Specified,"['python', 'spring', 'spring boot']",it services and consulting,engineering - software and qa,software development,01-09-2024,1,1819,
643,software development - other,tebiz digital solutions (india) llp,['bangalore'],650000.0,1300000.0,975000.0,"full time, permanent",4,9,Any Graduate,Not Specified,Not Specified,"['python', 'python development', 'sql']",it services and consulting,engineering - software and qa,software development,01-09-2024,2,746,
645,back end developer,jobsmill,['hyderabad'],1000000.0,2000000.0,1500000.0,"full time, permanent",5,10,Any Graduate,Not Specified,Not Specified,"['python', 'python development', 'python framework']",it services and consulting,engineering - software and qa,software development,06-09-2024,1,209,
646,full stack developer,visionyle solutions,"['bangalore', 'hyderabad', 'pune']",,,,"full time, permanent",5,8,b.tech/b.e.,any postgraduate,ph.d/doctorate,"['css3', 'html5', 'javascript', 'orm', 'python', 'security compliance', 'software quality assurance']",it services and consulting,engineering - software and qa,software development,01-09-2024,,313,3.9
647,full stack developer,pion global pvt ltd,['bangalore'],150000.0,200000.0,175000.0,"full time, permanent",0,1,b.tech/b.e.,m.tech,Not Specified,"['css', 'django', 'html', 'python']",content development / language,engineering - software and qa,software development,28-08-2024,1,3003,
648,software development - other,nr,"['chennai', 'hyderabad']",1200000.0,1400000.0,1300000.0,"full time, permanent",4,8,Any Graduate,Not Specified,Not Specified,"['aws', 'linux', 'python']",it services and consulting,engineering - software and qa,software development,28-08-2024,1,521,
649,it security - other,randstad offshore,"['bangalore', 'chennai', 'hyderabad']",,,,"full time, temporary/contractual",5,6,Any Graduate,Not Specified,Not Specified,"['amps', 'api', 'flask framework', 'message-oriented middleware', 'oops', 'python', 'rabbitmq', 'rest', 'websocket', 'zmq']",it services and consulting,it and information security,it security,11-08-2024,5,506,
650,software development - other,changeleaders consulting,"['hyderabad', 'new delhi']",500000.0,1200000.0,850000.0,"full time, permanent",3,5,Any Graduate,Not Specified,Not Specified,"['databricks', 'django', 'flask', 'hive', 'pyspark', 'python', 'python development', 'scala', 'spark']",it services and consulting,engineering - software and qa,software development,04-09-2024,1,1058,
651,full stack developer,agiliad technologies,"['noida', 'pune']",,,,"full time, permanent",3,5,b.tech/b.e.,m.tech,Not Specified,"['aws services', 'css', 'html', 'javascript', 'mysql', 'postgresql', 'python', 'python automation', 'python django', 'restful apis']",it services and consulting,engineering - software and qa,software development,30-08-2024,,1109,3.8
